Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Abilene, TX",38897,36939,37290,38305,39167,39890,41751,41577,41577,44039,44039,46493,49948
"Akron, OH",43376,42369,42551,43129,43485,43165,44366,45567,45567,49770,49770,51714,54843
"Albany, GA",35281,35550,35932,37435,37062,36666,37081,37867,37867,36889,36889,38764,42744
"Albany-Lebanon, OR",31989,32137,32464,33038,33722,33581,34529,36824,36824,42811,42811,43971,48040
"Albany-Schenectady-Troy, NY",43142,43634,44692,45110,45831,45834,46706,48629,48629,57743,57743,60500,65112
"Albuquerque, NM",36763,35463,34741,35276,34807,33591,34947,36422,36422,42129,42129,43975,47442
"Alexandria, LA",39587,39705,39373,40655,41226,40602,40634,42184,42184,42744,42744,44475,47961
"Allentown-Bethlehem-Easton, PA-NJ",42828,40842,41318,41659,41604,41339,42107,43771,43771,53518,53518,55363,59193
"Altoona, PA",37377,37833,38038,38791,38846,38801,39977,41966,41966,46236,46236,47573,52096
"Amarillo, TX",38653,37183,39350,40566,40947,40501,41922,43213,43213,46895,46895,49008,51116
"Ames, IA",40555,36873,35545,37136,41150,37456,37715,38544,38544,43564,43564,45160,47233
"Anchorage, AK",46749,45500,46760,48074,48484,46551,48057,49738,49738,61584,61584,63208,64904
"Ann Arbor, MI",43646,40010,43263,42095,43813,43585,44122,46290,46290,58667,58667,61101,63655
"Anniston-Oxford, AL",36024,36119,36306,36281,35404,34429,35460,36605,36605,36482,36482,37708,40195
"Appleton, WI",41589,40464,40442,41693,42317,42204,43698,45079,45079,50951,50951,52743,54988
"Asheville, NC",37300,35634,35261,35806,36910,35949,37261,39459,39459,45540,45540,47559,49809
"Athens-Clarke County, GA",31641,30808,30817,31873,32225,32396,34002,35700,35700,40371,40371,42391,44364
"Atlanta-Sandy Springs-Alpharetta, GA",40632,39529,39584,41415,40695,40230,42026,43861,43861,53354,53354,55668,58773
"Atlantic City-Hammonton, NJ",35501,35286,35103,35857,35797,35777,36294,37534,37534,48110,48110,51247,55802
"Auburn-Opelika, AL",35188,32667,33047,33605,34087,33754,34673,36267,36267,38184,38184,40439,42468
