Name,2016,2017,2018,2019,2020
"Abilene, TX",199.615,207.21,218.5925,225.9175,237.1525
"Akron, OH",141.6825,147.7725,154.8425,162.605,171.9825
"Albany, GA",146.515,150.0425,154.25,158.425,164.9425
"Albany-Lebanon, OR",197.3225,220.465,244.5075,264.7625,284.41
"Albany-Schenectady-Troy, NY",191.8475,196.42,201.9275,207.8825,216.55
"Albuquerque, NM",162.1725,167.83,174.17,182.315,193.8825
"Alexandria, LA",202.4675,207.16,209.65,213.15,219.82
"Allentown-Bethlehem-Easton, PA-NJ",168.9825,174.955,181.855,189.1325,199.7775
"Altoona, PA",187.9875,192.5,195.0075,201.17,210.4225
"Amarillo, TX",187.465,192.6775,197.995,203.22,210.51
"Ames, IA",191.1825,199.065,204.6,213.1025,218.2275
"Anchorage, AK",224.16,225.6775,225.9425,232.1075,239.2875
"Ann Arbor, MI",181.18,195.3075,208.535,218.405,225.3075
"Anniston-Oxford, AL",159.635,163.3375,169.3875,177.08,187.1025
"Appleton, WI",161.3275,170.7075,180.615,190.125,198.515
"Asheville, NC",247.85,266.435,283.985,298.875,313.9775
"Athens-Clarke County, GA",183.955,196.85,213.4125,227.99,244.9825
"Atlanta-Sandy Springs-Alpharetta, GA",180.405,193.6125,209.7275,222.475,235.315
"Atlantic City-Hammonton, NJ",194.165,191.0725,198.86,209.365,223.61
"Auburn-Opelika, AL",178.275,187.305,197.3725,207.635,217.285
"Augusta-Richmond County, GA-SC",162.9425,169.335,179.42,187.93,199.475
"Austin-Round Rock-Georgetown, TX",282.64,302.5125,319.7575,340.4675,363.22
"Bakersfield, CA",194.9625,203.02,212.72,222.415,235.67
"Baltimore-Columbia-Towson, MD",217.4125,222.4275,227.6675,233.8175,243.1625
"Bangor, ME",180.9075,184.5525,193.7925,201.3075,215.78
"Barnstable Town, MA",277.27,290.34,306.405,318.635,335.1925
"Baton Rouge, LA",206.6325,215.0825,219.86,225.1825,232.235
"Battle Creek, MI",156.7,163.4075,172.0775,182.275,193.3725
"Bay City, MI",144.975,150.86,157.175,164.555,173.8825
"Beaumont-Port Arthur, TX",187.7475,194.4775,204.4275,213.745,224.935
"Beckley, WV",192.4075,191.165,191.0775,195.6925,203.1975
"Bellingham, WA",231.015,256.8125,281.9075,301.5375,320.1
"Bend, OR",276.7,303.66,326.9125,345.4825,367.99
"Billings, MT",232.515,239.0375,245.2875,254.3775,266.17
"Binghamton, NY",168.3175,171.9025,177.6425,182.4575,194.7325
"Birmingham-Hoover, AL",174.2,181.4875,191.1425,201.3375,212.705
"Bismarck, ND",279.5675,283.0025,282.12,287.66,293.26
"Blacksburg-Christiansburg, VA",196.3825,200.6,208.095,219.1975,229.4125
"Bloomington, IL",147.3375,147.885,147.14,149.3725,153.0125
"Bloomington, IN",181.1675,191.1275,204.1925,216.1575,228.9225
"Bloomsburg-Berwick, PA",198.1825,200.9725,205.8175,213.055,223.335
"Boise City, ID",201.34,224.2325,257.9525,289.2075,322.9875
"Boston, MA  (MSAD)",269.5925,285.115,300.2525,313.3675,327.8325
"Boulder, CO",280.1125,305.385,327.8925,339.9025,349.2625
"Bowling Green, KY",167.5975,178.4525,185.775,192.4125,198.935
"Bremerton-Silverdale-Port Orchard, WA",224.24,247.2325,274.26,292.28,314.7825
"Bridgeport-Stamford-Norwalk, CT",197.25,197.31,199.485,203.6175,211.3025
"Brownsville-Harlingen, TX",161.0175,166.91,169.225,178.595,188.61
"Brunswick, GA",193.6175,205.0225,215.4575,226.8475,238.7175
"Buffalo-Cheektowaga, NY",169.6175,179.3925,190.8725,201.2275,213.8175
"Burlington, NC",144.22,148.44,157.8975,166.285,174.6275
"Burlington-South Burlington, VT",224.3275,229.9675,238.695,247.1025,258.2225
"California-Lexington Park, MD",202.5025,206.9425,210.865,218.075,228.8925
"Canton-Massillon, OH",149.0825,154.78,161.9775,169.7225,179.4375
"Cape Coral-Fort Myers, FL",221.0575,237.3575,249.1325,257.3375,271.5225
"Cape Girardeau, MO-IL",169.4725,170,177.055,181.4425,189.6375
"Carbondale-Marion, IL",168.765,166.965,169.795,171.13,177.2925
"Carson City, NV",192.3475,212.305,235.6525,251.74,267.805
"Casper, WY",273.92,270.585,274.3675,282.12,298.345
"Cedar Rapids, IA",156.2675,161.015,166.25,171.0275,176.25
"Chambersburg-Waynesboro, PA",178.2825,181.3925,186.395,193.13,201.0825
"Champaign-Urbana, IL",175.57,177.6325,181.6425,185.0025,190.045
"Charleston, WV",164.445,163.9325,166.6175,166.945,174.055
"Charleston-North Charleston, SC",279.6175,303.7925,321.3675,337.69,355.13
"Charlotte-Concord-Gastonia, NC-SC",186.46,200.595,216.2625,229.3075,243.6225
"Charlottesville, VA",224.2425,234.45,246.805,255.2975,265.985
"Chattanooga, TN-GA",189.1025,201.02,213.16,226.145,240.8975
"Cheyenne, WY",221.8325,232.8725,245.27,260.5575,277.215
"Chicago-Naperville-Evanston, IL  (MSAD)",170.005,175.7275,180.2575,185.3675,190.5525
"Chico, CA",218.61,233.57,251.46,283.4575,294.0075
